Time;Treatment;Strain;Replicate;CFU
12;WT;757;R1;3030000
12;WT;757;R2;1400000
12;WT;757;R3;1300000
12;CONTROL;764;R1;20000000
12;CONTROL;764;R2;30500000
12;CONTROL;764;R3;27500000
12;CONTROL;763;R1;300000000
12;CONTROL;763;R2;270000000
12;CONTROL;763;R3;370000000
12;CONTROL;749;R1;0
12;CONTROL;749;R2;0
12;CONTROL;749;R3;0
12;CONTROL;757;R1;9000000
12;CONTROL;757;R2;7000000
12;CONTROL;757;R3;6000000
12;SFP;764;R1;28000000
12;SFP;764;R2;14500000
12;SFP;764;R3;50000000
12;SFP;763;R1;290000000
12;SFP;763;R2;270000000
12;SFP;763;R3;290000000
12;SFP;749;R1;0
12;SFP;749;R2;0
12;SFP;749;R3;0
12;SFP;757;R1;1000000
12;SFP;757;R2;2700000
12;SFP;757;R3;1450000
12;srfAC;764;R1;40000000
12;srfAC;764;R2;15500000
12;srfAC;764;R3;41000000
12;srfAC;763;R1;420000000
12;srfAC;763;R2;390000000
12;srfAC;763;R3;420000000
12;srfAC;749;R1;0
12;srfAC;749;R2;0
12;srfAC;749;R3;0
12;srfAC;757;R1;600000
12;srfAC;757;R2;1100000
12;srfAC;757;R3;800000
12;ppsC;764;R1;16000000
12;ppsC;764;R2;11000000
12;ppsC;764;R3;12000000
12;ppsC;763;R1;350000000
12;ppsC;763;R2;210000000
12;ppsC;763;R3;180000000
12;ppsC;749;R1;0
12;ppsC;749;R2;0
12;ppsC;749;R3;0
12;ppsC;757;R1;1550000
12;ppsC;757;R2;400000
12;ppsC;757;R3;900000
14;WT;764;R1;21500000
14;WT;764;R2;14500000
14;WT;764;R3;11000000
14;WT;763;R1;190000000
14;WT;763;R2;220000000
14;WT;763;R3;130000000
14;WT;749;R1;0
14;WT;749;R2;0
14;WT;749;R3;0
14;WT;757;R1;6060000
14;WT;757;R2;600000
14;WT;757;R3;1100000
14;CONTROL;764;R1;21000000
14;CONTROL;764;R2;15000000
14;CONTROL;764;R3;11000000
14;CONTROL;763;R1;140000000
14;CONTROL;763;R2;110000000
14;CONTROL;763;R3;210000000
14;CONTROL;749;R1;0
14;CONTROL;749;R2;0
14;CONTROL;749;R3;0
14;CONTROL;757;R1;1800000
14;CONTROL;757;R2;1100000
14;CONTROL;757;R3;1100000
14;SFP;764;R1;32500000
14;SFP;764;R2;21000000
14;SFP;764;R3;18500000
14;SFP;763;R1;290000000
14;SFP;763;R2;110000000
14;SFP;763;R3;200000000
14;SFP;749;R1;0
14;SFP;749;R2;0
14;SFP;749;R3;0
14;SFP;757;R1;1400000
14;SFP;757;R2;45450000
14;SFP;757;R3;1050000
14;srfAC;764;R1;30000000
14;srfAC;764;R2;25000000
14;srfAC;764;R3;47500000
14;srfAC;763;R1;160000000
14;srfAC;763;R2;260000000
14;srfAC;763;R3;450000000
14;srfAC;749;R1;0
14;srfAC;749;R2;0
14;srfAC;749;R3;0
14;srfAC;757;R1;500000
14;srfAC;757;R2;300000
14;srfAC;757;R3;2100000
14;ppsC;764;R1;25500000
14;ppsC;764;R2;12000000
14;ppsC;764;R3;27500000
14;ppsC;763;R1;120000000
14;ppsC;763;R2;180000000
14;ppsC;763;R3;280000000
14;ppsC;749;R1;0
14;ppsC;749;R2;0
14;ppsC;749;R3;0
14;ppsC;757;R1;1650000
14;ppsC;757;R2;1000000
14;ppsC;757;R3;1400000
