Syncom ;P5_B1;sfp;srfAC;ppsC
7728,811908;9377,731861;13134,4912;11619,64915;6899,469579
2912,513487;14758,68314;12286,60742;28291,77392;20455,77141
3861005,454;7288994,752;7284246,138;5222087,33;8238706,445
7980,493215;405478,1751;230389,3869;929217,7008;415828,4801
222,382551;574688,624;373826,0796;683641,3081;833431,9543
547,2661395;16111,73698;46405,04401;10320,00449;112437,1619
466,3746216;3282,274738;7634,754793;3236,966033;7560,481551
3142,441422;5420,725042;8221,64921;7341,101531;8101,424989
451723,9681;296125,9397;365231,3293;363065,6216;282550,2403
73397,91655;108889,6109;97877,47443;98874,10892;85971,64079
2434,380648;725,9105571;3445,656854;1815,580118;1062,09212
377618,5394;396293,9392;424011,0737;619327,9989;259469,6937
1168776,911;1098197,445;1152243,117;1061942,581;1114578,576
1772,49975;28256,37995;23216,38432;11874,8927;83504,72067
7953,230911;25054,52694;29732,62146;27475,04344;32026,28946
4987599,033;5071290,066;5584721,516;5234223,242;4962185,405
7507727,804;20333333,33;21133333,33;23533333,33;16095514,71
989592,6131;885711,7501;1211127,261;913630,1786;1856025,957
635159,863;557100,2509;716092,1213;620257,8809;985991,263
382074,2682;312808,3095;430914,4151;314647,1321;500152,102
365751,8363;299204,431;385102,0941;284819,4726;460680,4813
303744,238;283622,0251;376974,5376;303264,2929;440924,7068
357285,3054;312437,5017;424476,8257;320421,9491;487965,2979
25781,52043;26393,35711;30379,12859;27577,70527;35915,90575
60449,95659;39819,40775;54135,80838;52174,2812;41656,36362
7020,611061;12279,72488;13143,5977;15692,52345;12506,70752
156,0836755;2664,378628;4009,211689;3397,745048;2645,741594
892,7777643;593,6958377;3148,991369;930,7832417;3493,948635
28730,82428;206228,6451;17772,25958;29145,40739;122711,6301
2807,259239;4567,012701;6451,580173;5457,992491;5786,184453
2369,723756;3760,097605;3761,96741;2639,234991;3981,875328
714,2648422;5083,505604;5123,499245;7336,235953;6123,943249
0;9805,086949;5398,085951;13362,59053;7563,078541
532,4419293;1998,731332;5208,303202;2414,009392;2134,953739
535340,3583;664092,4201;672048,4413;863801,2157;788548,1518
461706,8443;6958,182821;384906,7106;538441,2026;7778,469949
0;9250,609646;0;0;6266,958388
1923,1648;1016114,273;176,9747649;0;930549,2473
432,1296075;4764,629116;5104,389052;10629,64517;7311,938968
0;3601,624139;2750,548077;4263,310954;5499,780798
