row m/z,row retention time,SCCe0124.mzdata.xml Peak area,SCCe0125.mzdata.xml Peak area,SCCe0126.mzdata.xml Peak area,SCCe0127.mzdata.xml Peak area,SCCe0128.mzdata.xml Peak area,SCCe0129.mzdata.xml Peak area,SCCe0130.mzdata.xml Peak area,SCCe0131.mzdata.xml Peak area,SCCe0132.mzdata.xml Peak area,SCCe0133.mzdata.xml Peak area,SCCe0134.mzdata.xml Peak area,SCCe0135.mzdata.xml Peak area,SCCe0136.mzdata.xml Peak area,SCCe0137.mzdata.xml Peak area,SCCe0138.mzdata.xml Peak area
,,Syncom P5 Set 4,Syncom P5 Set 4,Syncom P5 Set 4,Syncom P5 + B. subtilis P5_B1 Set 4,Syncom P5 + B. subtilis P5_B1 Set 4,Syncom P5 + B. subtilis P5_B1 Set 4,Syncom P5 + B. subtilis P5_B1 sfp Set 4,Syncom P5 + B. subtilis P5_B1 sfp Set 4,Syncom P5 + B. subtilis P5_B1 sfp Set 4,Syncom P5 + B. subtilis P5_B1 srfAC Set 4,Syncom P5 + B. subtilis P5_B1 srfAC Set 4,Syncom P5 + B. subtilis P5_B1 srfAC Set 4,Syncom P5 + B. subtilis P5_B1 ppsC Set 4,Syncom P5 + B. subtilis P5_B1 ppsC Set 4,Syncom P5 + B. subtilis P5_B1 ppsC Set 4
477.3433451,6.554813953,232106.1901,241665.7029,237987.9984,238804.6192,253003.5584,250002.3175,247127.4547,248213.2984,235875.1497,247031.5838,257221.6116,254109.6385,258022.2657,267401.9419,244326.9339
613.5141821,8.900181818,179937.2452,204770.4769,205036.5943,126942.6107,53901.42971,59991.34856,218231.942,104144.9376,167129.2163,100785.9027,172878.015,119088.0501,59060.18546,190961.9633,132581.493
393.2098535,2.720275862,30598.38955,58019.00359,18081.11628,13294.0805,84273.96726,32802.77196,44397.96031,71507.12556,145233.8769,28869.9218,48804.88646,19205.72286,23136.93933,17293.85296,32767.28537
229.117685,2.141227586,60008.9647,55899.3743,82361.33839,122741.9719,118397.8394,84940.12114,115922.5619,138636.6033,110258.7996,101026.5297,128715.3051,110731.3583,106995.4267,136001.9691,132453.0594
712.4849509,10.48808966,25407.71133,34947.12875,27731.54357,30838.1902,5055.489628,10246.07279,34611.99263,13939.9433,9043.788164,3202.332642,23181.09396,16366.37207,9820.611925,13858.66203,17291.81681
393.2857903,6.5494,697517.8103,723236.9607,699678.5709,716559.2326,732616.9349,757455.3341,714844.964,712651.8931,726073.9688,726281.3552,784036.5525,764305.7793,808672.4899,790015.7385,775047.9325
487.1614053,6.790947368,0,0,0,0,0,0,0,0,26.42980957,0,0,0,0,0,0
465.1799564,6.781941176,0,0,0,0,0,361.7160718,0,0,0,0,0,0,0,0,0
655.5243421,10.62610417,218655.0214,231264.7775,232927.339,200090.6316,145418.3358,150186.5631,250378.1762,221012.7927,239606.7128,185532.7702,240434.3565,205117.2764,161425.853,229474.9022,202918.5231
376.3129703,7.563655172,6807.902849,361.7824832,1505.146663,6089.616116,2454.695768,335.4461536,1338.538929,3519.776732,1497.201352,810.8506183,272.5700757,3706.829683,295.6947327,1243.822355,3335.315538
784.4202929,6.619224806,0,1466.484142,0,1518.925417,1972.210873,2006.91547,639.1268683,289.816507,0,791.0288297,0,242.0119666,273.001507,358.366452,341.3979932
664.4875943,10.21537241,11364.90982,10390.44264,9672.381028,7126.824058,15594.90427,5834.032053,11923.72347,10856.3504,4440.217061,9513.336264,8813.167496,9896.904586,7477.426601,17374.18348,23759.62219
676.4891843,10.20161538,1620.919291,1097.362381,2293.987005,1030.432993,698.5739149,1894.022777,713.7563553,237.4309698,1784.690607,973.5039413,1078.24042,511.4336435,863.8819894,794.6553813,769.6238525
650.4731846,10.10227083,2010.55657,148.6533984,279.891709,1287.583836,596.7491162,445.7900629,355.3565552,513.8724985,808.4076489,159.7962451,679.4449722,50504.52736,36569.23311,1169.703988,1442.772098
284.2943734,9.278158621,203767.9372,523301.2089,1518838.33,81655.5327,44305.73922,96535.37391,278060.8755,110093.4866,1765224.741,60108.44604,415247.3972,178494.5183,576343.8324,2080675.062,2320458.958
662.4742104,10.04006923,0,231.1203076,142.7834454,0,23743.16547,107525.9845,0,27817.51705,201708.2652,131810.6804,143512.8485,138592.3413,0,0,0
349.1829592,2.523,21393.96475,44899.67877,13753.93697,12352.53724,52728.62561,24066.45998,31649.42291,38757.72367,118628.2399,23173.79305,42548.64374,16079.81815,19514.1306,19604.38746,31475.0235
661.3016023,9.189925926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
708.3784147,10.31311111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688.4892075,10.18478014,2712.512673,1562.033729,2758.865875,2154.654064,288.2964194,1690.473539,2331.484968,581.3169397,0,1781.88428,1731.917694,211.3060707,913.7711783,1842.591482,251.69625
302.1963355,2.075324138,60171.56323,41011.88082,64743.01899,65180.31194,68379.21877,59755.67996,44319.6289,55991.37966,53039.12116,44587.51735,52684.39049,107801.728,56337.89518,44960.84606,52325.71946
415.2114625,7.080841379,1179514.147,1051573.066,935685.1795,1114823.005,1040032.407,958802.389,982262.3085,965427.5704,1116558.811,875779.2545,832855.1722,1234537.924,942458.2157,833356.9865,914488.8566
437.1931143,7.080572414,1039900.964,858804.5578,818154.7237,925057.0474,928997.1665,966693.2673,877073.3355,837349.1284,900728.9367,805786.4984,781598.4925,1015733.332,948731.2217,778118.4251,824822.8516
635.3391204,3.1724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326.2067732,2.647296552,7023.433793,6223.792943,5251.720353,12077.36554,25325.90649,7494.974704,27901.64918,24969.61946,19008.99264,18959.07049,6072.777729,28457.96097,4845.953412,17644.75165,23878.19263
755.3926065,3.212402985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
376.1860149,2.283,0,0,226.7167827,341.0097711,299.7829715,616.7215379,0,652.7486646,646.3205283,366.4848697,348.1583725,354.0842825,298.2210851,1515.79897,1499.812982
514.2862123,2.991556701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
414.234171,2.181775194,0,238.7679987,0,348.0474481,318.328266,266.4397321,489.5941864,2024.132445,480.0121198,328.8001355,1152.576652,661.2838092,374.8812039,536.2165585,767.6424207
657.3206881,3.189936709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
639.5298661,9.294422414,181041.3016,208092.9005,216063.3243,145637.82,74954.13261,73130.94108,290207.9404,156805.9116,227949.6342,132154.8081,216060.8509,159128.8171,79400.25539,209290.1781,148925.541
722.3929261,10.30511111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
553.3332754,3.208147368,0,0,0,0,0,0,0,0,0,0,0,0,276.6874942,0,0
655.5249467,8.99129,55637.61669,51222.89875,59390.16765,25420.15024,14488.86278,8868.35198,36329.92206,21698.68417,29460.77487,13140.16089,41089.91306,30760.54205,11139.03481,26830.22351,20023.32622
568.4929079,10.90248872,39865.53879,39688.9086,33721.86173,61284.36932,39404.55541,24725.80333,95424.61765,54125.20863,93488.87882,49033.24213,83732.04022,80411.2421,28539.0048,75860.82565,47056.52487
611.4989985,9.01225,0,0,0,0,0,0,0,228.485343,0,0,0,0,0,0,0
417.2135808,3.238080882,0,1473.158228,1748.657798,713.5651318,2097.513632,325.9628705,806.5984973,1802.957382,2698.61024,1580.076982,671.6561243,933.9019821,4854.340684,7525.737723,3486.495176
625.5153512,9.213601695,2645.512152,1825.820936,645.5986853,2024.64589,293.1194202,827.7903479,2554.182225,2186.929688,825.434729,612.042562,264.3127286,1077.050277,1112.300571,0,904.1877576
475.2540434,2.849911765,0,0,266.3625064,1075.210802,1536.670598,242.5947597,374.3026208,1156.565539,329.907226,232.2228149,947.2909561,480.0284198,746.0038687,1258.093901,1713.051069
186.2216034,13.21473103,123439.4726,149241.36,110057.4196,245987.505,324649.7385,489463.266,172446.3766,337419.2327,135530.6638,191407.5899,187296.0551,135353.8964,137585.822,109303.451,54724.13414
256.2633433,8.675117241,426930.69,1113498.559,2768613.352,280205.9659,128207.7862,295980.073,607285.3749,211854.4055,3532834.109,107070.2314,798851.3303,361533.4326,1739556.358,4667775.144,5372227.976
