row ID;row m/z;SCCe0064.mzML Peak area;SCCe0065.mzML Peak area;SCCe0066.mzML Peak area;SCCe0067.mzML Peak area;SCCe0068.mzML Peak area;SCCe0069.mzML Peak area;SCCe0070.mzML Peak area;SCCe0071.mzML Peak area;SCCe0072.mzML Peak area;SCCe0073.mzML Peak area;SCCe0074.mzML Peak area;SCCe0075.mzML Peak area;SCCe0076.mzML Peak area;SCCe0077.mzML Peak area;SCCe0078.mzML Peak area;SCCe0079.mzML Peak area;SCCe0080.mzML Peak area;SCCe0081.mzML Peak area;SCCe0082.mzML Peak area;SCCe0083.mzML Peak area;SCCe0084.mzML Peak area;SCCe0085.mzML Peak area;SCCe0086.mzML Peak area;SCCe0087.mzML Peak area;SCCe0088.mzML Peak area;SCCe0089.mzML Peak area;SCCe0090.mzML Peak area;SCCe0091.mzML Peak area;SCCe0092.mzML Peak area;SCCe0093.mzML Peak area;SCCe0094.mzML Peak area;SCCe0095.mzML Peak area;SCCe0096.mzML Peak area;SCCe0097.mzML Peak area;SCCe0098.mzML Peak area;SCCe0099.mzML Peak area;SCCe0100.mzML Peak area;SCCe0101.mzML Peak area;SCCe0102.mzML Peak area;SCCe0103.mzML Peak area;SCCe0104.mzML Peak area;SCCe0105.mzML Peak area;SCCe0106.mzML Peak area;SCCe0107.mzML Peak area;SCCe0108.mzML Peak area;SCCe0109.mzML Peak area;SCCe0110.mzML Peak area;SCCe0111.mzML Peak area;SCCe0112.mzML Peak area;SCCe0113.mzML Peak area;SCCe0114.mzML Peak area;SCCe0115.mzML Peak area;SCCe0116.mzML Peak area;SCCe0117.mzML Peak area;SCCe0118.mzML Peak area;SCCe0119.mzML Peak area;SCCe0120.mzML Peak area;SCCe0121.mzML Peak area;SCCe0122.mzML Peak area;SCCe0123.mzML Peak area;SCCe0124.mzML Peak area;SCCe0125.mzML Peak area;SCCe0126.mzML Peak area;SCCe0127.mzML Peak area;SCCe0128.mzML Peak area;SCCe0129.mzML Peak area;SCCe0130.mzML Peak area;SCCe0131.mzML Peak area;SCCe0132.mzML Peak area;SCCe0133.mzML Peak area;SCCe0134.mzML Peak area;SCCe0135.mzML Peak area;SCCe0136.mzML Peak area;SCCe0137.mzML Peak area;SCCe0138.mzML Peak area;SCCe0139.mzML Peak area;SCCe0140.mzML Peak area;SCCe0141.mzML Peak area;SCCe0142.mzML Peak area
773;542.3753101;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1149.8654;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1679.6284;0;0;0;0;0;0;0;0;0;0;0;3712.4226;0;0;0;0;0;0;3406.945;2262.5432;0;0;0;1381.042;2804.0625;0;0;0;0;0
774;424.4147308;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7500.4355;5361.738;5990.9907;3274.052;3532.2712;6370.0303;6979.7905;4987.8438;3469.218;4627.9927;2594.6487;5287.502;3212.0889;3508.7954;0;8744.838;0;0;0;0;8896.775;5253.446;7889.8564;3369.0518;4969.3696;3882.055;4114.1855;6830.308;8073.2363;6309.5127;6886.5864;5737.413;5216.939;7193.1177;4102.0073;6652.214;7914.5513;4964.7573;5024.998;6032.558;11512.11;8478.431;6127.8887;7802.074;4885.7944;9379.232;7038.3623;5903.9053;8269.469;4610.733;7204.899;5065.8535;7408.6274;4897.697;4340.0757;10773.1045;7041.663;6076.3804;7460.8447
775;554.4409727;0;0;1569.0801;0;0;1373.4175;0;0;0;1759.7756;1001.2114;0;6104.505;0;1601.7214;0;0;0;0;2814.002;0;1319.947;0;0;1328.8213;1790.2198;2396.8496;0;0;0;0;0;0;0;0;0;0;0;0;0;2809.4526;1563.8579;1847.9932;0;1910.1085;1602.2278;0;1423.4121;0;0;2150.8765;2163.379;0;1878.064;0;0;1526.7864;1527.5803;1078.8069;0;0;0;2052.9192;0;0;2831.1582;0;2821.3174;1854.9624;0;2488.5615;0;2220.4019;2612.1748;0;2950.5562;0;1572.353;0
776;352.3206883;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1435.1;0;0;0;0;2328.2957;4334.501;1510.9978;0;0;0;0;0;2077.0051;1652.1761;0;0;0;0;2483.892;1773.7463;1528.0183;1737.5748;2614.29;2790.3447;0;3167.5378;2526.448;3191.8645;4109.874;4514.83;4927.0864;2078.2942;0;2473.4114;0;0
777;374.3027055;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
778;256.2636973;0;2201.8484;3985.4785;3646.7844;0;0;0;1196.9707;0;0;0;3211.1724;0;0;2580.0947;6142.585;4885.4155;0;6185.1045;3586.4502;91250.63;82121.32;39728.164;2415.3452;9227.177;11113.65;89171.84;33846.1;12041.4375;12279.716;7768.963;6955.17;5082.3936;0;6945.8955;2212.0977;1920.5718;4718.4326;2008.3533;2703.8076;9892.673;3472.1533;9866.901;9672.8;6882.9946;7752.393;7350.8345;6075.528;15998.363;8306.601;7766.278;5832.171;6183.6167;11677.396;10937.699;17111.562;10490.985;8607.342;34708.934;6216.862;20293.602;41201.664;96053.016;9993.735;4420.8574;10659.912;25310.947;8131.017;110725.945;3706.8167;33861.938;13942.72;60996.383;151801.97;151240.03;181302.89;58814.785;85269.86;99720.32
779;349.1701681;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5376.656;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53806.293;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
780;612.4826824;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1211.0598;0;0;0;0;0;1737.1487;0;0;0;0;0;0;0;0;1174.9445;0;0;0;0;0;0;0;0;0;0;0;0;0;1159.4026;0;0;0;0;0;0;0;0;0;0;2529.8528;0;0;1877.4094;1437.7756;0;0;1542.7158;0;0;0;0;0;0;0;0;0;0;0
782;234.1276867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8949.848;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
783;351.1851673;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10688.217;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
785;511.519707;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2794.9424;0;0;0;0;0
